TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,511,17.03,801,26.70,9.67,ENTRY->WAIT->OUT,19.17s: ENTRY->WAIT; 20.87s: WAIT->OUT
2,True,Valid (Retried),516,17.20,718,23.93,6.73,ENTRY->WAIT->ENTRY->WAIT->OUT,19.23s: ENTRY->WAIT; 19.57s: WAIT->ENTRY; 20.07s: ENTRY->WAIT; 21.17s: WAIT->OUT
3,True,Valid Sequence,519,17.30,754,25.13,7.83,ENTRY->WAIT->OUT,19.00s: ENTRY->WAIT; 21.73s: WAIT->OUT
4,True,Valid Sequence,519,17.30,820,27.33,10.03,ENTRY->WAIT->OUT,20.17s: ENTRY->WAIT; 21.47s: WAIT->OUT
5,True,Valid Sequence,520,17.33,715,23.83,6.50,ENTRY->WAIT->OUT,20.03s: ENTRY->WAIT; 21.07s: WAIT->OUT
6,True,Valid Sequence,523,17.43,828,27.60,10.17,ENTRY->WAIT->OUT,20.73s: ENTRY->WAIT; 22.10s: WAIT->OUT
7,True,Valid Sequence,528,17.60,724,24.13,6.53,ENTRY->WAIT->OUT,20.10s: ENTRY->WAIT; 20.90s: WAIT->OUT
8,True,Valid Sequence,529,17.63,734,24.47,6.83,ENTRY->WAIT->OUT,20.07s: ENTRY->WAIT; 21.63s: WAIT->OUT
9,True,Valid Sequence,529,17.63,709,23.63,6.00,ENTRY->WAIT->OUT,19.27s: ENTRY->WAIT; 20.80s: WAIT->OUT
10,True,Valid Sequence,532,17.73,713,23.77,6.03,ENTRY->WAIT->OUT,18.93s: ENTRY->WAIT; 20.87s: WAIT->OUT
11,True,Valid Sequence,537,17.90,726,24.20,6.30,ENTRY->WAIT->OUT,20.80s: ENTRY->WAIT; 21.73s: WAIT->OUT
12,True,Valid Sequence,538,17.93,756,25.20,7.27,ENTRY->WAIT->OUT,20.50s: ENTRY->WAIT; 21.47s: WAIT->OUT
13,True,Valid Sequence,538,17.93,773,25.77,7.83,ENTRY->WAIT->OUT,19.57s: ENTRY->WAIT; 22.57s: WAIT->OUT
14,True,Valid Sequence,539,17.97,725,24.17,6.20,ENTRY->WAIT->OUT,20.57s: ENTRY->WAIT; 21.17s: WAIT->OUT
15,True,Valid Sequence,540,18.00,726,24.20,6.20,ENTRY->WAIT->OUT,21.73s: ENTRY->WAIT; 22.40s: WAIT->OUT
16,True,Valid Sequence,541,18.03,726,24.20,6.17,ENTRY->WAIT->OUT,20.97s: ENTRY->WAIT; 22.00s: WAIT->OUT
17,True,Valid Sequence,541,18.03,718,23.93,5.90,ENTRY->WAIT->OUT,21.17s: ENTRY->WAIT; 22.13s: WAIT->OUT
18,True,Valid Sequence,545,18.17,741,24.70,6.53,ENTRY->WAIT->OUT,20.67s: ENTRY->WAIT; 21.97s: WAIT->OUT
19,True,Valid Sequence,547,18.23,735,24.50,6.27,ENTRY->WAIT->OUT,20.73s: ENTRY->WAIT; 21.87s: WAIT->OUT
20,True,Valid Sequence,548,18.27,755,25.17,6.90,ENTRY->WAIT->OUT,19.47s: ENTRY->WAIT; 22.33s: WAIT->OUT
21,True,Valid Sequence,550,18.33,745,24.83,6.50,ENTRY->WAIT->OUT,20.17s: ENTRY->WAIT; 20.97s: WAIT->OUT
22,True,Valid Sequence,552,18.40,724,24.13,5.73,ENTRY->WAIT->OUT,20.77s: ENTRY->WAIT; 22.17s: WAIT->OUT
23,True,Valid Sequence,554,18.47,769,25.63,7.17,ENTRY->WAIT->OUT,20.30s: ENTRY->WAIT; 21.43s: WAIT->OUT
24,True,Valid Sequence,560,18.67,739,24.63,5.97,ENTRY->WAIT->OUT,21.23s: ENTRY->WAIT; 22.20s: WAIT->OUT
25,True,Valid Sequence,563,18.77,764,25.47,6.70,ENTRY->WAIT->OUT,21.40s: ENTRY->WAIT; 22.77s: WAIT->OUT
26,True,Valid Sequence,570,19.00,751,25.03,6.03,ENTRY->WAIT->OUT,20.53s: ENTRY->WAIT; 22.27s: WAIT->OUT
27,True,Valid Sequence,574,19.13,748,24.93,5.80,ENTRY->WAIT->OUT,21.13s: ENTRY->WAIT; 22.33s: WAIT->OUT
28,True,Valid Sequence,630,21.00,740,24.67,3.67,ENTRY->WAIT->OUT,22.37s: ENTRY->WAIT; 22.93s: WAIT->OUT
29,False,Ghost (Started in OUT),806,26.87,824,27.47,0.60,OUT,
