TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,30,1.00,178,5.93,4.93,ENTRY->WAIT->OUT,2.73s: ENTRY->WAIT; 3.67s: WAIT->OUT
2,True,Valid Sequence,40,1.33,179,5.97,4.63,ENTRY->WAIT->OUT,2.00s: ENTRY->WAIT; 3.40s: WAIT->OUT
3,True,Valid Sequence,42,1.40,199,6.63,5.23,ENTRY->WAIT->OUT,2.63s: ENTRY->WAIT; 3.93s: WAIT->OUT
4,True,Valid Sequence,54,1.80,199,6.63,4.83,ENTRY->WAIT->OUT,3.17s: ENTRY->WAIT; 4.33s: WAIT->OUT
5,True,Valid Sequence,84,2.80,329,10.97,8.17,ENTRY->WAIT->OUT,5.87s: ENTRY->WAIT; 7.13s: WAIT->OUT
6,True,Valid Sequence,89,2.97,364,12.13,9.17,ENTRY->WAIT->OUT,5.83s: ENTRY->WAIT; 8.60s: WAIT->OUT
7,True,Valid Sequence,99,3.30,251,8.37,5.07,ENTRY->WAIT->OUT,5.60s: ENTRY->WAIT; 6.50s: WAIT->OUT
8,True,Valid Sequence,103,3.43,286,9.53,6.10,ENTRY->WAIT->OUT,5.23s: ENTRY->WAIT; 6.63s: WAIT->OUT
9,True,Valid Sequence,105,3.50,256,8.53,5.03,ENTRY->WAIT->OUT,5.00s: ENTRY->WAIT; 6.23s: WAIT->OUT
10,True,Valid Sequence,106,3.53,310,10.33,6.80,ENTRY->WAIT->OUT,5.40s: ENTRY->WAIT; 6.37s: WAIT->OUT
11,True,Valid Sequence,114,3.80,262,8.73,4.93,ENTRY->WAIT->OUT,5.67s: ENTRY->WAIT; 6.57s: WAIT->OUT
12,True,Valid (Retried),117,3.90,328,10.93,7.03,ENTRY->WAIT->ENTRY->WAIT->OUT,6.03s: ENTRY->WAIT; 6.63s: WAIT->ENTRY; 7.10s: ENTRY->WAIT; 8.77s: WAIT->OUT
