TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid (Retried),56,1.87,473,15.77,13.90,ENTRY->WAIT->OUT->WAIT->ENTRY->WAIT->OUT,5.03s: ENTRY->WAIT; 6.13s: WAIT->OUT; 10.90s: OUT->WAIT; 12.57s: WAIT->ENTRY; 14.60s: ENTRY->WAIT; 14.97s: WAIT->OUT
2,False,Turned Back,59,1.97,152,5.07,3.10,ENTRY,
3,True,Valid Sequence,63,2.10,316,10.53,8.43,ENTRY->WAIT->OUT,5.17s: ENTRY->WAIT; 8.10s: WAIT->OUT
4,True,Valid Sequence,70,2.33,457,15.23,12.90,ENTRY->WAIT->OUT,12.73s: ENTRY->WAIT; 13.47s: WAIT->OUT
5,True,Valid Sequence,73,2.43,332,11.07,8.63,ENTRY->WAIT->OUT,7.63s: ENTRY->WAIT; 8.53s: WAIT->OUT
6,True,Valid Sequence,82,2.73,345,11.50,8.77,ENTRY->WAIT->OUT,6.00s: ENTRY->WAIT; 8.13s: WAIT->OUT
7,True,Valid Sequence,90,3.00,387,12.90,9.90,ENTRY->WAIT->OUT,10.77s: ENTRY->WAIT; 11.33s: WAIT->OUT
8,True,Valid Sequence,93,3.10,293,9.77,6.67,ENTRY->WAIT->OUT,4.93s: ENTRY->WAIT; 6.30s: WAIT->OUT
9,True,Valid Sequence,96,3.20,354,11.80,8.60,ENTRY->WAIT->OUT,6.10s: ENTRY->WAIT; 9.37s: WAIT->OUT
10,True,Valid Sequence,99,3.30,282,9.40,6.10,ENTRY->WAIT->OUT,6.03s: ENTRY->WAIT; 6.70s: WAIT->OUT
11,True,Valid Sequence,101,3.37,311,10.37,7.00,ENTRY->WAIT->OUT,5.90s: ENTRY->WAIT; 6.90s: WAIT->OUT
12,True,Valid Sequence,105,3.50,324,10.80,7.30,ENTRY->WAIT->OUT,5.80s: ENTRY->WAIT; 6.63s: WAIT->OUT
13,True,Valid Sequence,111,3.70,311,10.37,6.67,ENTRY->WAIT->OUT,5.80s: ENTRY->WAIT; 6.40s: WAIT->OUT
14,True,Valid Sequence,115,3.83,298,9.93,6.10,ENTRY->WAIT->OUT,6.30s: ENTRY->WAIT; 7.63s: WAIT->OUT
15,True,Valid Sequence,119,3.97,303,10.10,6.13,ENTRY->WAIT->OUT,5.80s: ENTRY->WAIT; 6.47s: WAIT->OUT
16,True,Valid Sequence,173,5.77,355,11.83,6.07,ENTRY->WAIT->OUT,9.33s: ENTRY->WAIT; 10.17s: WAIT->OUT
17,True,Valid Sequence,180,6.00,437,14.57,8.57,ENTRY->WAIT->OUT,10.97s: ENTRY->WAIT; 11.80s: WAIT->OUT
18,True,Valid Sequence,201,6.70,328,10.93,4.23,ENTRY->WAIT->OUT,7.93s: ENTRY->WAIT; 8.87s: WAIT->OUT
19,True,Valid Sequence,207,6.90,349,11.63,4.73,ENTRY->WAIT->OUT,8.30s: ENTRY->WAIT; 9.13s: WAIT->OUT
20,True,Valid Sequence,207,6.90,306,10.20,3.30,ENTRY->WAIT->OUT,7.67s: ENTRY->WAIT; 8.30s: WAIT->OUT
21,True,Valid Sequence,267,8.90,364,12.13,3.23,ENTRY->WAIT->OUT,9.90s: ENTRY->WAIT; 10.63s: WAIT->OUT
22,True,Valid (Hesitated),268,8.93,482,16.07,7.13,ENTRY->WAIT->OUT->WAIT->OUT,10.00s: ENTRY->WAIT; 10.67s: WAIT->OUT; 12.90s: OUT->WAIT; 14.20s: WAIT->OUT
23,True,Valid Sequence,270,9.00,368,12.27,3.27,ENTRY->WAIT->OUT,9.90s: ENTRY->WAIT; 10.57s: WAIT->OUT
24,True,Valid (Hesitated),275,9.17,466,15.53,6.37,ENTRY->WAIT->OUT->WAIT->OUT,10.93s: ENTRY->WAIT; 11.73s: WAIT->OUT; 13.30s: OUT->WAIT; 14.07s: WAIT->OUT
25,True,Valid Sequence,279,9.30,369,12.30,3.00,ENTRY->WAIT->OUT,10.33s: ENTRY->WAIT; 11.00s: WAIT->OUT
26,True,Valid Sequence,286,9.53,483,16.10,6.57,ENTRY->WAIT->OUT,14.47s: ENTRY->WAIT; 15.10s: WAIT->OUT
27,True,Valid Sequence,289,9.63,486,16.20,6.57,ENTRY->WAIT->OUT,14.50s: ENTRY->WAIT; 15.03s: WAIT->OUT
28,True,Valid Sequence,298,9.93,414,13.80,3.87,ENTRY->WAIT->OUT,11.17s: ENTRY->WAIT; 11.93s: WAIT->OUT
29,True,Valid Sequence,307,10.23,468,15.60,5.37,ENTRY->WAIT->OUT,13.67s: ENTRY->WAIT; 14.30s: WAIT->OUT
30,True,Valid Sequence,334,11.13,472,15.73,4.60,ENTRY->WAIT->OUT,13.97s: ENTRY->WAIT; 14.63s: WAIT->OUT
31,False,Ghost (Started in OUT),337,11.23,340,11.33,0.10,OUT,
33,False,Ghost (Started in OUT),468,15.60,469,15.63,0.03,OUT,
34,False,Ghost (Started in OUT),491,16.37,494,16.47,0.10,OUT,
35,False,Ghost (Started in WAIT),497,16.57,497,16.57,0.00,WAIT,
