TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
80,True,Valid Sequence,161,5.37,276,9.20,3.83,ENTRY->WAIT->OUT,6.23s: ENTRY->WAIT; 7.20s: WAIT->OUT
82,True,Valid Sequence,162,5.40,248,8.27,2.87,ENTRY->WAIT->OUT,6.33s: ENTRY->WAIT; 6.90s: WAIT->OUT
83,True,Valid Sequence,163,5.43,226,7.53,2.10,ENTRY->WAIT->OUT,5.83s: ENTRY->WAIT; 6.23s: WAIT->OUT
84,True,Valid Sequence,163,5.43,245,8.17,2.73,ENTRY->WAIT->OUT,6.07s: ENTRY->WAIT; 6.63s: WAIT->OUT
85,True,Valid Sequence,163,5.43,244,8.13,2.70,ENTRY->WAIT->OUT,6.13s: ENTRY->WAIT; 6.63s: WAIT->OUT
86,True,Valid Sequence,165,5.50,233,7.77,2.27,ENTRY->WAIT->OUT,6.13s: ENTRY->WAIT; 6.57s: WAIT->OUT
88,True,Valid Sequence,167,5.57,255,8.50,2.93,ENTRY->WAIT->OUT,6.40s: ENTRY->WAIT; 7.07s: WAIT->OUT
89,True,Valid Sequence,170,5.67,387,12.90,7.23,ENTRY->WAIT->OUT,7.67s: ENTRY->WAIT; 10.20s: WAIT->OUT
90,True,Valid Sequence,170,5.67,262,8.73,3.07,ENTRY->WAIT->OUT,6.43s: ENTRY->WAIT; 7.07s: WAIT->OUT
91,True,Valid Sequence,174,5.80,269,8.97,3.17,ENTRY->WAIT->OUT,6.60s: ENTRY->WAIT; 7.23s: WAIT->OUT
92,False,Ghost (Started in OUT),182,6.07,187,6.23,0.17,OUT,
93,False,Ghost (Started in OUT),186,6.20,192,6.40,0.20,OUT,
94,False,Ghost (Started in OUT),187,6.23,187,6.23,0.00,OUT,
95,True,Valid Sequence,187,6.23,287,9.57,3.33,ENTRY->WAIT->OUT,7.20s: ENTRY->WAIT; 7.80s: WAIT->OUT
96,True,Valid Sequence,190,6.33,292,9.73,3.40,ENTRY->WAIT->OUT,7.43s: ENTRY->WAIT; 8.13s: WAIT->OUT
97,True,Valid Sequence,193,6.43,312,10.40,3.97,ENTRY->WAIT->OUT,7.60s: ENTRY->WAIT; 8.27s: WAIT->OUT
98,True,Valid Sequence,199,6.63,281,9.37,2.73,ENTRY->WAIT->OUT,7.23s: ENTRY->WAIT; 7.67s: WAIT->OUT
99,False,Turned Back,201,6.70,203,6.77,0.07,ENTRY,
100,True,Valid Sequence,201,6.70,318,10.60,3.90,ENTRY->WAIT->OUT,7.73s: ENTRY->WAIT; 8.70s: WAIT->OUT
101,True,Valid Sequence,211,7.03,287,9.57,2.53,ENTRY->WAIT->OUT,7.90s: ENTRY->WAIT; 8.33s: WAIT->OUT
102,True,Valid Sequence,211,7.03,329,10.97,3.93,ENTRY->WAIT->OUT,8.27s: ENTRY->WAIT; 9.13s: WAIT->OUT
103,True,Valid Sequence,213,7.10,319,10.63,3.53,ENTRY->WAIT->OUT,8.13s: ENTRY->WAIT; 8.87s: WAIT->OUT
104,True,Valid Sequence,218,7.27,340,11.33,4.07,ENTRY->WAIT->OUT,9.03s: ENTRY->WAIT; 9.70s: WAIT->OUT
105,True,Valid Sequence,223,7.43,383,12.77,5.33,ENTRY->WAIT->OUT,9.30s: ENTRY->WAIT; 10.57s: WAIT->OUT
106,True,Valid Sequence,228,7.60,411,13.70,6.10,ENTRY->WAIT->OUT,10.93s: ENTRY->WAIT; 11.60s: WAIT->OUT
107,True,Valid Sequence,235,7.83,395,13.17,5.33,ENTRY->WAIT->OUT,11.03s: ENTRY->WAIT; 11.63s: WAIT->OUT
108,True,Valid Sequence,235,7.83,386,12.87,5.03,ENTRY->WAIT->OUT,10.07s: ENTRY->WAIT; 11.40s: WAIT->OUT
109,True,Valid Sequence,243,8.10,386,12.87,4.77,ENTRY->WAIT->OUT,10.37s: ENTRY->WAIT; 11.10s: WAIT->OUT
110,True,Valid Sequence,247,8.23,395,13.17,4.93,ENTRY->WAIT->OUT,11.07s: ENTRY->WAIT; 11.77s: WAIT->OUT
111,True,Valid Sequence,251,8.37,425,14.17,5.80,ENTRY->WAIT->OUT,11.40s: ENTRY->WAIT; 12.33s: WAIT->OUT
112,True,Valid Sequence,251,8.37,386,12.87,4.50,ENTRY->WAIT->OUT,10.90s: ENTRY->WAIT; 11.47s: WAIT->OUT
113,False,Turned Back,253,8.43,257,8.57,0.13,ENTRY,
114,True,Valid Sequence,259,8.63,386,12.87,4.23,ENTRY->WAIT->OUT,10.80s: ENTRY->WAIT; 11.47s: WAIT->OUT
115,True,Valid Sequence,263,8.77,419,13.97,5.20,ENTRY->WAIT->OUT,11.43s: ENTRY->WAIT; 12.40s: WAIT->OUT
116,True,Valid Sequence,264,8.80,391,13.03,4.23,ENTRY->WAIT->OUT,11.43s: ENTRY->WAIT; 12.00s: WAIT->OUT
117,True,Valid Sequence,271,9.03,402,13.40,4.37,ENTRY->WAIT->OUT,11.33s: ENTRY->WAIT; 12.00s: WAIT->OUT
118,True,Valid Sequence,271,9.03,418,13.93,4.90,ENTRY->WAIT->OUT,11.27s: ENTRY->WAIT; 12.03s: WAIT->OUT
119,True,Valid Sequence,272,9.07,399,13.30,4.23,ENTRY->WAIT->OUT,10.80s: ENTRY->WAIT; 11.60s: WAIT->OUT
120,True,Valid Sequence,276,9.20,428,14.27,5.07,ENTRY->WAIT->OUT,11.10s: ENTRY->WAIT; 12.07s: WAIT->OUT
121,True,Valid Sequence,280,9.33,381,12.70,3.37,ENTRY->WAIT->OUT,10.83s: ENTRY->WAIT; 11.43s: WAIT->OUT
122,True,Valid Sequence,291,9.70,397,13.23,3.53,ENTRY->WAIT->OUT,11.60s: ENTRY->WAIT; 12.40s: WAIT->OUT
123,True,Valid Sequence,292,9.73,395,13.17,3.43,ENTRY->WAIT->OUT,11.27s: ENTRY->WAIT; 11.83s: WAIT->OUT
124,True,Valid Sequence,295,9.83,402,13.40,3.57,ENTRY->WAIT->OUT,11.07s: ENTRY->WAIT; 11.83s: WAIT->OUT
125,True,Valid Sequence,296,9.87,419,13.97,4.10,ENTRY->WAIT->OUT,11.57s: ENTRY->WAIT; 12.17s: WAIT->OUT
126,True,Valid Sequence,296,9.87,409,13.63,3.77,ENTRY->WAIT->OUT,11.40s: ENTRY->WAIT; 12.07s: WAIT->OUT
127,True,Valid Sequence,297,9.90,402,13.40,3.50,ENTRY->WAIT->OUT,11.27s: ENTRY->WAIT; 11.90s: WAIT->OUT
128,True,Valid Sequence,300,10.00,427,14.23,4.23,ENTRY->WAIT->OUT,11.83s: ENTRY->WAIT; 12.53s: WAIT->OUT
129,False,Ghost (Started in OUT),394,13.13,401,13.37,0.23,OUT,

[SUMMARY],,,,,,,,,
Line0,115,,,,,,,,
Line1,114,,,,,,,,
Line2,114,,,,,,,,
AvgRaw,114.33,,,,,,,,
TOTAL COUNT,114,,,,,,,,
TOTAL VALID (轨迹验证),114,,,,,,,,
TOTAL IDs,122,,,,,,,,
