TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,0,0.00,181,6.03,6.03,ENTRY->WAIT->OUT,2.53s: ENTRY->WAIT; 3.27s: WAIT->OUT
2,True,Valid Sequence,0,0.00,185,6.17,6.17,ENTRY->WAIT->OUT,2.37s: ENTRY->WAIT; 3.33s: WAIT->OUT
3,True,Valid Sequence,2,0.07,189,6.30,6.23,ENTRY->WAIT->OUT,2.33s: ENTRY->WAIT; 3.43s: WAIT->OUT
4,True,Valid Sequence,3,0.10,268,8.93,8.83,ENTRY->WAIT->OUT,3.50s: ENTRY->WAIT; 4.77s: WAIT->OUT
5,True,Valid Sequence,7,0.23,211,7.03,6.80,ENTRY->WAIT->OUT,2.77s: ENTRY->WAIT; 3.77s: WAIT->OUT
6,True,Valid Sequence,8,0.27,267,8.90,8.63,ENTRY->WAIT->OUT,3.07s: ENTRY->WAIT; 3.93s: WAIT->OUT
7,True,Valid Sequence,12,0.40,208,6.93,6.53,ENTRY->WAIT->OUT,3.33s: ENTRY->WAIT; 4.23s: WAIT->OUT
8,True,Valid Sequence,16,0.53,192,6.40,5.87,ENTRY->WAIT->OUT,2.47s: ENTRY->WAIT; 3.50s: WAIT->OUT
9,True,Valid Sequence,18,0.60,219,7.30,6.70,ENTRY->WAIT->OUT,2.67s: ENTRY->WAIT; 4.10s: WAIT->OUT
10,True,Valid Sequence,19,0.63,204,6.80,6.17,ENTRY->WAIT->OUT,3.70s: ENTRY->WAIT; 4.57s: WAIT->OUT
11,True,Valid Sequence,20,0.67,191,6.37,5.70,ENTRY->WAIT->OUT,2.53s: ENTRY->WAIT; 3.73s: WAIT->OUT
12,True,Valid Sequence,21,0.70,227,7.57,6.87,ENTRY->WAIT->OUT,4.87s: ENTRY->WAIT; 5.70s: WAIT->OUT
13,True,Valid Sequence,22,0.73,184,6.13,5.40,ENTRY->WAIT->OUT,2.90s: ENTRY->WAIT; 3.63s: WAIT->OUT
14,True,Valid Sequence,23,0.77,201,6.70,5.93,ENTRY->WAIT->OUT,2.77s: ENTRY->WAIT; 3.73s: WAIT->OUT
15,True,Valid Sequence,26,0.87,214,7.13,6.27,ENTRY->WAIT->OUT,3.40s: ENTRY->WAIT; 4.17s: WAIT->OUT
16,True,Valid Sequence,30,1.00,245,8.17,7.17,ENTRY->WAIT->OUT,3.33s: ENTRY->WAIT; 5.30s: WAIT->OUT
17,True,Valid Sequence,30,1.00,188,6.27,5.27,ENTRY->WAIT->OUT,2.93s: ENTRY->WAIT; 3.83s: WAIT->OUT
18,True,Valid Sequence,31,1.03,238,7.93,6.90,ENTRY->WAIT->OUT,3.10s: ENTRY->WAIT; 4.33s: WAIT->OUT
19,True,Valid Sequence,32,1.07,223,7.43,6.37,ENTRY->WAIT->OUT,4.13s: ENTRY->WAIT; 5.93s: WAIT->OUT
20,True,Valid Sequence,38,1.27,202,6.73,5.47,ENTRY->WAIT->OUT,3.13s: ENTRY->WAIT; 4.07s: WAIT->OUT
21,False,Stuck in Wait,42,1.40,99,3.30,1.90,ENTRY->WAIT,3.07s: ENTRY->WAIT
22,True,Valid Sequence,42,1.40,234,7.80,6.40,ENTRY->WAIT->OUT,4.17s: ENTRY->WAIT; 5.37s: WAIT->OUT
23,True,Valid Sequence,43,1.43,214,7.13,5.70,ENTRY->WAIT->OUT,4.37s: ENTRY->WAIT; 5.17s: WAIT->OUT
24,True,Valid Sequence,45,1.50,215,7.17,5.67,ENTRY->WAIT->OUT,3.80s: ENTRY->WAIT; 4.73s: WAIT->OUT
25,True,Valid Sequence,50,1.67,218,7.27,5.60,ENTRY->WAIT->OUT,3.20s: ENTRY->WAIT; 4.60s: WAIT->OUT
26,True,Valid Sequence,54,1.80,195,6.50,4.70,ENTRY->WAIT->OUT,3.37s: ENTRY->WAIT; 4.37s: WAIT->OUT
27,True,Valid Sequence,54,1.80,196,6.53,4.73,ENTRY->WAIT->OUT,3.40s: ENTRY->WAIT; 4.73s: WAIT->OUT
28,True,Valid Sequence,54,1.80,201,6.70,4.90,ENTRY->WAIT->OUT,3.50s: ENTRY->WAIT; 4.47s: WAIT->OUT
29,True,Valid Sequence,58,1.93,200,6.67,4.73,ENTRY->WAIT->OUT,3.27s: ENTRY->WAIT; 4.20s: WAIT->OUT
30,True,Valid Sequence,58,1.93,238,7.93,6.00,ENTRY->WAIT->OUT,3.53s: ENTRY->WAIT; 4.83s: WAIT->OUT
31,True,Valid Sequence,64,2.13,184,6.13,4.00,ENTRY->WAIT->OUT,3.93s: ENTRY->WAIT; 4.80s: WAIT->OUT
32,True,Valid Sequence,67,2.23,223,7.43,5.20,ENTRY->WAIT->OUT,4.60s: ENTRY->WAIT; 5.63s: WAIT->OUT
33,True,Valid Sequence,69,2.30,208,6.93,4.63,ENTRY->WAIT->OUT,3.97s: ENTRY->WAIT; 5.13s: WAIT->OUT
34,True,Valid Sequence,74,2.47,217,7.23,4.77,ENTRY->WAIT->OUT,4.07s: ENTRY->WAIT; 4.90s: WAIT->OUT
35,True,Valid Sequence,74,2.47,241,8.03,5.57,ENTRY->WAIT->OUT,4.50s: ENTRY->WAIT; 5.47s: WAIT->OUT
36,True,Valid Sequence,74,2.47,233,7.77,5.30,ENTRY->WAIT->OUT,4.93s: ENTRY->WAIT; 5.97s: WAIT->OUT
37,True,Valid Sequence,79,2.63,244,8.13,5.50,ENTRY->WAIT->OUT,4.23s: ENTRY->WAIT; 5.13s: WAIT->OUT
38,True,Valid Sequence,81,2.70,213,7.10,4.40,ENTRY->WAIT->OUT,4.20s: ENTRY->WAIT; 5.00s: WAIT->OUT
39,True,Valid Sequence,82,2.73,244,8.13,5.40,ENTRY->WAIT->OUT,4.23s: ENTRY->WAIT; 5.13s: WAIT->OUT
40,True,Valid Sequence,83,2.77,210,7.00,4.23,ENTRY->WAIT->OUT,4.43s: ENTRY->WAIT; 5.27s: WAIT->OUT
41,True,Valid Sequence,84,2.80,245,8.17,5.37,ENTRY->WAIT->OUT,4.83s: ENTRY->WAIT; 6.03s: WAIT->OUT
42,True,Valid Sequence,94,3.13,214,7.13,4.00,ENTRY->WAIT->OUT,4.83s: ENTRY->WAIT; 5.57s: WAIT->OUT
43,True,Valid Sequence,97,3.23,212,7.07,3.83,ENTRY->WAIT->OUT,4.57s: ENTRY->WAIT; 5.27s: WAIT->OUT
44,True,Valid Sequence,102,3.40,223,7.43,4.03,ENTRY->WAIT->OUT,4.53s: ENTRY->WAIT; 5.27s: WAIT->OUT
45,True,Valid Sequence,104,3.47,234,7.80,4.33,ENTRY->WAIT->OUT,4.57s: ENTRY->WAIT; 5.37s: WAIT->OUT
46,True,Valid Sequence,107,3.57,231,7.70,4.13,ENTRY->WAIT->OUT,4.80s: ENTRY->WAIT; 5.67s: WAIT->OUT
47,False,Ghost (Started in WAIT),110,3.67,220,7.33,3.67,WAIT->OUT,5.57s: WAIT->OUT
48,False,Ghost (Started in OUT),183,6.10,184,6.13,0.03,OUT,
49,False,Ghost (Started in OUT),228,7.60,271,9.03,1.43,OUT,
