TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,62,2.07,210,7.00,4.93,ENTRY->WAIT->OUT,3.90s: ENTRY->WAIT; 4.83s: WAIT->OUT
2,True,Valid Sequence,70,2.33,192,6.40,4.07,ENTRY->WAIT->OUT,3.73s: ENTRY->WAIT; 4.53s: WAIT->OUT
3,True,Valid Sequence,75,2.50,207,6.90,4.40,ENTRY->WAIT->OUT,4.07s: ENTRY->WAIT; 5.07s: WAIT->OUT
4,True,Valid Sequence,79,2.63,206,6.87,4.23,ENTRY->WAIT->OUT,4.13s: ENTRY->WAIT; 4.80s: WAIT->OUT
5,True,Valid Sequence,88,2.93,260,8.67,5.73,ENTRY->WAIT->OUT,4.23s: ENTRY->WAIT; 5.13s: WAIT->OUT
6,True,Valid Sequence,95,3.17,196,6.53,3.37,ENTRY->WAIT->OUT,4.00s: ENTRY->WAIT; 4.70s: WAIT->OUT
7,True,Valid Sequence,98,3.27,191,6.37,3.10,ENTRY->WAIT->OUT,4.03s: ENTRY->WAIT; 4.47s: WAIT->OUT
8,True,Valid (Retried),99,3.30,770,25.67,22.37,ENTRY->WAIT->ENTRY->WAIT->ENTRY->WAIT->OUT,5.83s: ENTRY->WAIT; 6.27s: WAIT->ENTRY; 7.10s: ENTRY->WAIT; 7.53s: WAIT->ENTRY; 13.30s: ENTRY->WAIT; 13.70s: WAIT->OUT
9,True,Valid Sequence,106,3.53,212,7.07,3.53,ENTRY->WAIT->OUT,4.37s: ENTRY->WAIT; 4.90s: WAIT->OUT
10,True,Valid Sequence,113,3.77,264,8.80,5.03,ENTRY->WAIT->OUT,4.73s: ENTRY->WAIT; 6.57s: WAIT->OUT
11,True,Valid Sequence,134,4.47,264,8.80,4.33,ENTRY->WAIT->OUT,5.47s: ENTRY->WAIT; 6.13s: WAIT->OUT
12,True,Valid Sequence,145,4.83,1144,38.13,33.30,ENTRY->WAIT->OUT,7.53s: ENTRY->WAIT; 11.07s: WAIT->OUT
13,True,Valid Sequence,230,7.67,1094,36.47,28.80,ENTRY->WAIT->OUT,9.80s: ENTRY->WAIT; 11.67s: WAIT->OUT
14,True,Valid Sequence,256,8.53,801,26.70,18.17,ENTRY->WAIT->OUT,10.40s: ENTRY->WAIT; 11.47s: WAIT->OUT
15,True,Valid Sequence,398,13.27,1086,36.20,22.93,ENTRY->WAIT->OUT,14.13s: ENTRY->WAIT; 14.70s: WAIT->OUT
16,False,Ghost (Started in OUT),850,28.33,1120,37.33,9.00,OUT,
17,False,Ghost (Started in OUT),924,30.80,1106,36.87,6.07,OUT,
