TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid (Hesitated),40,1.33,628,20.93,19.60,ENTRY->WAIT->OUT->WAIT->OUT,3.83s: ENTRY->WAIT; 8.53s: WAIT->OUT; 8.87s: OUT->WAIT; 9.50s: WAIT->OUT
2,True,Valid (Retried),63,2.10,698,23.27,21.17,ENTRY->WAIT->ENTRY->WAIT->OUT,2.47s: ENTRY->WAIT; 3.40s: WAIT->ENTRY; 3.70s: ENTRY->WAIT; 8.90s: WAIT->OUT
5,True,Valid Sequence,503,16.77,639,21.30,4.53,ENTRY->WAIT->OUT,17.73s: ENTRY->WAIT; 18.67s: WAIT->OUT
6,True,Valid Sequence,503,16.77,635,21.17,4.40,ENTRY->WAIT->OUT,17.90s: ENTRY->WAIT; 18.67s: WAIT->OUT
7,True,Valid Sequence,513,17.10,655,21.83,4.73,ENTRY->WAIT->OUT,17.83s: ENTRY->WAIT; 18.83s: WAIT->OUT
8,True,Valid Sequence,545,18.17,655,21.83,3.67,ENTRY->WAIT->OUT,19.20s: ENTRY->WAIT; 19.77s: WAIT->OUT
9,True,Valid Sequence,546,18.20,653,21.77,3.57,ENTRY->WAIT->OUT,19.20s: ENTRY->WAIT; 19.87s: WAIT->OUT
10,True,Valid Sequence,551,18.37,663,22.10,3.73,ENTRY->WAIT->OUT,19.27s: ENTRY->WAIT; 20.00s: WAIT->OUT
11,True,Valid Sequence,555,18.50,649,21.63,3.13,ENTRY->WAIT->OUT,19.43s: ENTRY->WAIT; 20.03s: WAIT->OUT
12,True,Valid Sequence,558,18.60,656,21.87,3.27,ENTRY->WAIT->OUT,19.53s: ENTRY->WAIT; 20.03s: WAIT->OUT
13,True,Valid Sequence,565,18.83,679,22.63,3.80,ENTRY->WAIT->OUT,19.77s: ENTRY->WAIT; 20.60s: WAIT->OUT
14,True,Valid Sequence,565,18.83,663,22.10,3.27,ENTRY->WAIT->OUT,19.77s: ENTRY->WAIT; 20.17s: WAIT->OUT
15,True,Valid Sequence,567,18.90,653,21.77,2.87,ENTRY->WAIT->OUT,19.57s: ENTRY->WAIT; 20.20s: WAIT->OUT
16,True,Valid Sequence,570,19.00,681,22.70,3.70,ENTRY->WAIT->OUT,19.73s: ENTRY->WAIT; 20.77s: WAIT->OUT
17,True,Valid Sequence,572,19.07,692,23.07,4.00,ENTRY->WAIT->OUT,19.93s: ENTRY->WAIT; 21.13s: WAIT->OUT
18,True,Valid Sequence,574,19.13,671,22.37,3.23,ENTRY->WAIT->OUT,19.97s: ENTRY->WAIT; 20.77s: WAIT->OUT
19,True,Valid Sequence,575,19.17,701,23.37,4.20,ENTRY->WAIT->OUT,20.53s: ENTRY->WAIT; 21.43s: WAIT->OUT
20,True,Valid Sequence,581,19.37,673,22.43,3.07,ENTRY->WAIT->OUT,19.97s: ENTRY->WAIT; 20.40s: WAIT->OUT
21,True,Valid Sequence,582,19.40,674,22.47,3.07,ENTRY->WAIT->OUT,20.37s: ENTRY->WAIT; 21.10s: WAIT->OUT
22,True,Valid Sequence,582,19.40,706,23.53,4.13,ENTRY->WAIT->OUT,20.40s: ENTRY->WAIT; 21.40s: WAIT->OUT
23,True,Valid Sequence,582,19.40,665,22.17,2.77,ENTRY->WAIT->OUT,20.00s: ENTRY->WAIT; 20.40s: WAIT->OUT
24,True,Valid Sequence,585,19.50,680,22.67,3.17,ENTRY->WAIT->OUT,20.33s: ENTRY->WAIT; 20.97s: WAIT->OUT
25,True,Valid Sequence,586,19.53,709,23.63,4.10,ENTRY->WAIT->OUT,20.70s: ENTRY->WAIT; 21.60s: WAIT->OUT
26,True,Valid Sequence,592,19.73,676,22.53,2.80,ENTRY->WAIT->OUT,20.57s: ENTRY->WAIT; 21.00s: WAIT->OUT
27,True,Valid Sequence,592,19.73,684,22.80,3.07,ENTRY->WAIT->OUT,20.57s: ENTRY->WAIT; 21.30s: WAIT->OUT
28,True,Valid Sequence,595,19.83,717,23.90,4.07,ENTRY->WAIT->OUT,21.20s: ENTRY->WAIT; 21.83s: WAIT->OUT
29,True,Valid Sequence,596,19.87,702,23.40,3.53,ENTRY->WAIT->OUT,21.03s: ENTRY->WAIT; 21.67s: WAIT->OUT
30,True,Valid Sequence,599,19.97,689,22.97,3.00,ENTRY->WAIT->OUT,20.93s: ENTRY->WAIT; 21.40s: WAIT->OUT
31,True,Valid Sequence,606,20.20,718,23.93,3.73,ENTRY->WAIT->OUT,21.50s: ENTRY->WAIT; 22.20s: WAIT->OUT
