frame,timestamp,event,track_id,zone,details
14,0.47s,NEW_ID,1,ENTRY,ID 1 appeared in ENTRY
24,0.80s,NEW_ID,2,ENTRY,ID 2 appeared in ENTRY
32,1.07s,NEW_ID,3,ENTRY,ID 3 appeared in ENTRY
34,1.13s,ZONE_CHANGE,1,WAIT,ID 1: ENTRY -> WAIT
35,1.17s,NEW_ID,4,ENTRY,ID 4 appeared in ENTRY
44,1.47s,NEW_ID,5,ENTRY,ID 5 appeared in ENTRY
45,1.50s,ZONE_CHANGE,1,OUT,ID 1: WAIT -> OUT
47,1.57s,NEW_ID,6,ENTRY,ID 6 appeared in ENTRY
48,1.60s,ZONE_CHANGE,2,WAIT,ID 2: ENTRY -> WAIT
48,1.60s,NEW_ID,7,ENTRY,ID 7 appeared in ENTRY
49,1.63s,NEW_ID,8,ENTRY,ID 8 appeared in ENTRY
52,1.73s,NEW_ID,9,ENTRY,ID 9 appeared in ENTRY
58,1.93s,ZONE_CHANGE,3,WAIT,ID 3: ENTRY -> WAIT
61,2.03s,NEW_ID,10,ENTRY,ID 10 appeared in ENTRY
63,2.10s,NEW_ID,11,ENTRY,ID 11 appeared in ENTRY
67,2.23s,ZONE_CHANGE,2,OUT,ID 2: WAIT -> OUT
67,2.23s,ZONE_CHANGE,4,WAIT,ID 4: ENTRY -> WAIT
71,2.37s,ZONE_CHANGE,5,WAIT,ID 5: ENTRY -> WAIT
71,2.37s,NEW_ID,12,ENTRY,ID 12 appeared in ENTRY
72,2.40s,ZONE_CHANGE,8,WAIT,ID 8: ENTRY -> WAIT
75,2.50s,ZONE_CHANGE,6,WAIT,ID 6: ENTRY -> WAIT
76,2.53s,ZONE_CHANGE,7,WAIT,ID 7: ENTRY -> WAIT
78,2.60s,ZONE_CHANGE,9,WAIT,ID 9: ENTRY -> WAIT
80,2.67s,ZONE_CHANGE,3,OUT,ID 3: WAIT -> OUT
86,2.87s,ZONE_CHANGE,4,OUT,ID 4: WAIT -> OUT
88,2.93s,ZONE_CHANGE,5,OUT,ID 5: WAIT -> OUT
88,2.93s,ZONE_CHANGE,8,OUT,ID 8: WAIT -> OUT
90,3.00s,ZONE_CHANGE,6,OUT,ID 6: WAIT -> OUT
91,3.03s,ZONE_CHANGE,11,WAIT,ID 11: ENTRY -> WAIT
92,3.07s,ZONE_CHANGE,10,WAIT,ID 10: ENTRY -> WAIT
97,3.23s,ZONE_CHANGE,7,OUT,ID 7: WAIT -> OUT
99,3.30s,ZONE_CHANGE,9,OUT,ID 9: WAIT -> OUT
102,3.40s,ZONE_CHANGE,12,WAIT,ID 12: ENTRY -> WAIT
116,3.87s,ZONE_CHANGE,11,OUT,ID 11: WAIT -> OUT
118,3.93s,ZONE_CHANGE,10,OUT,ID 10: WAIT -> OUT
124,4.13s,ZONE_CHANGE,12,OUT,ID 12: WAIT -> OUT
