TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,0,0.00,142,4.73,4.73,ENTRY->WAIT->OUT,0.60s: ENTRY->WAIT; 1.40s: WAIT->OUT
2,False,Ghost (Started in OUT),0,0.00,37,1.23,1.23,OUT,
3,False,Ghost (Started in OUT),0,0.00,14,0.47,0.47,OUT,
4,False,Ghost (Started in OUT),0,0.00,4,0.13,0.13,OUT,
5,True,Valid Sequence,30,1.00,315,10.50,9.50,ENTRY->WAIT->OUT,3.97s: ENTRY->WAIT; 5.30s: WAIT->OUT
6,True,Valid Sequence,36,1.20,200,6.67,5.47,ENTRY->WAIT->OUT,3.97s: ENTRY->WAIT; 5.07s: WAIT->OUT
7,True,Valid Sequence,36,1.20,199,6.63,5.43,ENTRY->WAIT->OUT,4.10s: ENTRY->WAIT; 5.17s: WAIT->OUT
8,True,Valid Sequence,43,1.43,253,8.43,7.00,ENTRY->WAIT->OUT,4.27s: ENTRY->WAIT; 5.40s: WAIT->OUT
9,True,Valid Sequence,44,1.47,208,6.93,5.47,ENTRY->WAIT->OUT,4.07s: ENTRY->WAIT; 5.20s: WAIT->OUT
10,True,Valid Sequence,59,1.97,236,7.87,5.90,ENTRY->WAIT->OUT,4.93s: ENTRY->WAIT; 6.10s: WAIT->OUT
11,True,Valid Sequence,60,2.00,260,8.67,6.67,ENTRY->WAIT->OUT,4.57s: ENTRY->WAIT; 5.70s: WAIT->OUT
12,True,Valid Sequence,77,2.57,259,8.63,6.07,ENTRY->WAIT->OUT,5.03s: ENTRY->WAIT; 6.20s: WAIT->OUT
13,True,Valid Sequence,85,2.83,195,6.50,3.67,ENTRY->WAIT->OUT,4.50s: ENTRY->WAIT; 5.07s: WAIT->OUT
14,True,Valid Sequence,90,3.00,200,6.67,3.67,ENTRY->WAIT->OUT,4.67s: ENTRY->WAIT; 5.23s: WAIT->OUT
15,True,Valid Sequence,91,3.03,256,8.53,5.50,ENTRY->WAIT->OUT,5.27s: ENTRY->WAIT; 6.20s: WAIT->OUT
16,True,Valid Sequence,96,3.20,283,9.43,6.23,ENTRY->WAIT->OUT,5.37s: ENTRY->WAIT; 6.50s: WAIT->OUT
17,True,Valid Sequence,96,3.20,221,7.37,4.17,ENTRY->WAIT->OUT,4.77s: ENTRY->WAIT; 5.60s: WAIT->OUT
18,True,Valid Sequence,101,3.37,214,7.13,3.77,ENTRY->WAIT->OUT,5.10s: ENTRY->WAIT; 5.60s: WAIT->OUT
19,True,Valid Sequence,101,3.37,273,9.10,5.73,ENTRY->WAIT->OUT,5.63s: ENTRY->WAIT; 6.90s: WAIT->OUT
20,True,Valid Sequence,111,3.70,299,9.97,6.27,ENTRY->WAIT->OUT,6.50s: ENTRY->WAIT; 7.83s: WAIT->OUT
