TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,124,4.13,262,8.73,4.60,ENTRY->WAIT->OUT,5.77s: ENTRY->WAIT; 6.47s: WAIT->OUT
2,True,Valid Sequence,126,4.20,288,9.60,5.40,ENTRY->WAIT->OUT,5.60s: ENTRY->WAIT; 6.40s: WAIT->OUT
3,True,Valid Sequence,128,4.27,322,10.73,6.47,ENTRY->WAIT->OUT,6.27s: ENTRY->WAIT; 7.00s: WAIT->OUT
4,True,Valid Sequence,129,4.30,287,9.57,5.27,ENTRY->WAIT->OUT,5.80s: ENTRY->WAIT; 6.50s: WAIT->OUT
5,True,Valid Sequence,129,4.30,313,10.43,6.13,ENTRY->WAIT->OUT,6.03s: ENTRY->WAIT; 6.73s: WAIT->OUT
6,True,Valid Sequence,131,4.37,288,9.60,5.23,ENTRY->WAIT->OUT,5.97s: ENTRY->WAIT; 6.70s: WAIT->OUT
7,True,Valid Sequence,131,4.37,321,10.70,6.33,ENTRY->WAIT->OUT,6.33s: ENTRY->WAIT; 7.07s: WAIT->OUT
8,True,Valid Sequence,136,4.53,289,9.63,5.10,ENTRY->WAIT->OUT,5.93s: ENTRY->WAIT; 6.60s: WAIT->OUT
9,True,Valid Sequence,138,4.60,298,9.93,5.33,ENTRY->WAIT->OUT,5.97s: ENTRY->WAIT; 6.60s: WAIT->OUT
10,True,Valid Sequence,142,4.73,287,9.57,4.83,ENTRY->WAIT->OUT,6.17s: ENTRY->WAIT; 6.77s: WAIT->OUT
12,True,Valid Sequence,143,4.77,302,10.07,5.30,ENTRY->WAIT->OUT,6.03s: ENTRY->WAIT; 6.80s: WAIT->OUT
13,True,Valid Sequence,145,4.83,268,8.93,4.10,ENTRY->WAIT->OUT,6.30s: ENTRY->WAIT; 7.47s: WAIT->OUT
14,True,Valid Sequence,145,4.83,291,9.70,4.87,ENTRY->WAIT->OUT,6.03s: ENTRY->WAIT; 6.87s: WAIT->OUT
15,True,Valid Sequence,145,4.83,307,10.23,5.40,ENTRY->WAIT->OUT,6.10s: ENTRY->WAIT; 6.80s: WAIT->OUT
16,True,Valid Sequence,147,4.90,322,10.73,5.83,ENTRY->WAIT->OUT,6.13s: ENTRY->WAIT; 6.77s: WAIT->OUT
17,True,Valid Sequence,148,4.93,322,10.73,5.80,ENTRY->WAIT->OUT,6.50s: ENTRY->WAIT; 8.67s: WAIT->OUT
18,True,Valid Sequence,150,5.00,305,10.17,5.17,ENTRY->WAIT->OUT,6.47s: ENTRY->WAIT; 7.60s: WAIT->OUT
19,False,Turned Back,154,5.13,180,6.00,0.87,ENTRY,
20,True,Valid Sequence,154,5.13,299,9.97,4.83,ENTRY->WAIT->OUT,6.43s: ENTRY->WAIT; 7.17s: WAIT->OUT
22,False,Turned Back,155,5.17,223,7.43,2.27,ENTRY,
23,True,Valid Sequence,156,5.20,301,10.03,4.83,ENTRY->WAIT->OUT,6.20s: ENTRY->WAIT; 6.97s: WAIT->OUT
24,False,Turned Back,157,5.23,170,5.67,0.43,ENTRY,
25,True,Valid Sequence,160,5.33,285,9.50,4.17,ENTRY->WAIT->OUT,6.50s: ENTRY->WAIT; 7.10s: WAIT->OUT
26,True,Valid Sequence,162,5.40,313,10.43,5.03,ENTRY->WAIT->OUT,6.63s: ENTRY->WAIT; 7.37s: WAIT->OUT
27,True,Valid Sequence,162,5.40,266,8.87,3.47,ENTRY->WAIT->OUT,6.43s: ENTRY->WAIT; 6.97s: WAIT->OUT
28,True,Valid Sequence,162,5.40,321,10.70,5.30,ENTRY->WAIT->OUT,6.57s: ENTRY->WAIT; 8.17s: WAIT->OUT
29,True,Valid Sequence,164,5.47,281,9.37,3.90,ENTRY->WAIT->OUT,6.63s: ENTRY->WAIT; 7.87s: WAIT->OUT
30,True,Valid Sequence,164,5.47,286,9.53,4.07,ENTRY->WAIT->OUT,6.50s: ENTRY->WAIT; 7.17s: WAIT->OUT
31,True,Valid Sequence,165,5.50,313,10.43,4.93,ENTRY->WAIT->OUT,7.87s: ENTRY->WAIT; 8.97s: WAIT->OUT
32,True,Valid Sequence,168,5.60,309,10.30,4.70,ENTRY->WAIT->OUT,6.43s: ENTRY->WAIT; 7.27s: WAIT->OUT
33,True,Valid Sequence,168,5.60,298,9.93,4.33,ENTRY->WAIT->OUT,6.50s: ENTRY->WAIT; 7.13s: WAIT->OUT
34,True,Valid Sequence,168,5.60,253,8.43,2.83,ENTRY->WAIT->OUT,6.20s: ENTRY->WAIT; 6.90s: WAIT->OUT
35,True,Valid Sequence,170,5.67,321,10.70,5.03,ENTRY->WAIT->OUT,6.87s: ENTRY->WAIT; 8.57s: WAIT->OUT
36,True,Valid Sequence,172,5.73,322,10.73,5.00,ENTRY->WAIT->OUT,7.27s: ENTRY->WAIT; 8.73s: WAIT->OUT
40,False,Ghost (Started in WAIT),196,6.53,280,9.33,2.80,WAIT->OUT,7.47s: WAIT->OUT
41,False,Ghost (Started in OUT),204,6.80,207,6.90,0.10,OUT,
42,False,Ghost (Started in OUT),223,7.43,282,9.40,1.97,OUT,
43,False,Turned Back,228,7.60,228,7.60,0.00,ENTRY,
44,True,Valid Sequence,237,7.90,294,9.80,1.90,ENTRY->WAIT->OUT,8.13s: ENTRY->WAIT; 8.67s: WAIT->OUT
46,False,Ghost (Started in OUT),266,8.87,297,9.90,1.03,OUT,
