TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid (Retried),25,0.83,441,14.70,13.87,ENTRY->WAIT->OUT->WAIT->ENTRY->WAIT->OUT,3.97s: ENTRY->WAIT; 5.07s: WAIT->OUT; 9.83s: OUT->WAIT; 11.50s: WAIT->ENTRY; 13.53s: ENTRY->WAIT; 13.90s: WAIT->OUT
2,False,Turned Back,27,0.90,108,3.60,2.70,ENTRY,
3,True,Valid Sequence,31,1.03,284,9.47,8.43,ENTRY->WAIT->OUT,4.10s: ENTRY->WAIT; 7.03s: WAIT->OUT
4,True,Valid Sequence,38,1.27,425,14.17,12.90,ENTRY->WAIT->OUT,11.67s: ENTRY->WAIT; 12.40s: WAIT->OUT
5,True,Valid Sequence,41,1.37,301,10.03,8.67,ENTRY->WAIT->OUT,6.57s: ENTRY->WAIT; 7.47s: WAIT->OUT
6,True,Valid Sequence,50,1.67,314,10.47,8.80,ENTRY->WAIT->OUT,4.93s: ENTRY->WAIT; 7.07s: WAIT->OUT
7,True,Valid Sequence,59,1.97,355,11.83,9.87,ENTRY->WAIT->OUT,9.70s: ENTRY->WAIT; 10.27s: WAIT->OUT
8,True,Valid Sequence,61,2.03,261,8.70,6.67,ENTRY->WAIT->OUT,3.87s: ENTRY->WAIT; 5.23s: WAIT->OUT
9,True,Valid Sequence,64,2.13,322,10.73,8.60,ENTRY->WAIT->OUT,5.03s: ENTRY->WAIT; 8.30s: WAIT->OUT
10,True,Valid Sequence,68,2.27,250,8.33,6.07,ENTRY->WAIT->OUT,4.97s: ENTRY->WAIT; 5.63s: WAIT->OUT
11,True,Valid Sequence,69,2.30,279,9.30,7.00,ENTRY->WAIT->OUT,4.80s: ENTRY->WAIT; 5.83s: WAIT->OUT
12,True,Valid Sequence,73,2.43,292,9.73,7.30,ENTRY->WAIT->OUT,4.73s: ENTRY->WAIT; 5.57s: WAIT->OUT
13,True,Valid Sequence,79,2.63,279,9.30,6.67,ENTRY->WAIT->OUT,4.73s: ENTRY->WAIT; 5.37s: WAIT->OUT
14,True,Valid Sequence,83,2.77,267,8.90,6.13,ENTRY->WAIT->OUT,5.23s: ENTRY->WAIT; 6.57s: WAIT->OUT
15,True,Valid Sequence,87,2.90,270,9.00,6.10,ENTRY->WAIT->OUT,4.73s: ENTRY->WAIT; 5.40s: WAIT->OUT
16,True,Valid Sequence,141,4.70,319,10.63,5.93,ENTRY->WAIT->OUT,8.27s: ENTRY->WAIT; 9.10s: WAIT->OUT
17,True,Valid Sequence,148,4.93,405,13.50,8.57,ENTRY->WAIT->OUT,9.90s: ENTRY->WAIT; 10.73s: WAIT->OUT
18,True,Valid Sequence,169,5.63,296,9.87,4.23,ENTRY->WAIT->OUT,6.83s: ENTRY->WAIT; 7.80s: WAIT->OUT
19,True,Valid Sequence,175,5.83,317,10.57,4.73,ENTRY->WAIT->OUT,7.23s: ENTRY->WAIT; 8.07s: WAIT->OUT
20,True,Valid Sequence,176,5.87,274,9.13,3.27,ENTRY->WAIT->OUT,6.60s: ENTRY->WAIT; 7.23s: WAIT->OUT
21,True,Valid Sequence,235,7.83,332,11.07,3.23,ENTRY->WAIT->OUT,8.83s: ENTRY->WAIT; 9.57s: WAIT->OUT
22,True,Valid (Hesitated),237,7.90,450,15.00,7.10,ENTRY->WAIT->OUT->WAIT->OUT,8.93s: ENTRY->WAIT; 9.60s: WAIT->OUT; 11.83s: OUT->WAIT; 13.13s: WAIT->OUT
23,True,Valid Sequence,238,7.93,336,11.20,3.27,ENTRY->WAIT->OUT,8.83s: ENTRY->WAIT; 9.50s: WAIT->OUT
24,True,Valid (Hesitated),243,8.10,434,14.47,6.37,ENTRY->WAIT->OUT->WAIT->OUT,9.87s: ENTRY->WAIT; 10.67s: WAIT->OUT; 12.23s: OUT->WAIT; 13.00s: WAIT->OUT
25,True,Valid Sequence,248,8.27,337,11.23,2.97,ENTRY->WAIT->OUT,9.27s: ENTRY->WAIT; 9.93s: WAIT->OUT
26,True,Valid Sequence,254,8.47,451,15.03,6.57,ENTRY->WAIT->OUT,13.40s: ENTRY->WAIT; 14.03s: WAIT->OUT
27,True,Valid Sequence,257,8.57,454,15.13,6.57,ENTRY->WAIT->OUT,13.43s: ENTRY->WAIT; 13.97s: WAIT->OUT
28,False,Ghost (Started in OUT),258,8.60,258,8.60,0.00,OUT,
29,True,Valid Sequence,266,8.87,382,12.73,3.87,ENTRY->WAIT->OUT,10.10s: ENTRY->WAIT; 10.87s: WAIT->OUT
30,True,Valid Sequence,276,9.20,436,14.53,5.33,ENTRY->WAIT->OUT,12.60s: ENTRY->WAIT; 13.23s: WAIT->OUT
31,True,Valid Sequence,302,10.07,440,14.67,4.60,ENTRY->WAIT->OUT,12.90s: ENTRY->WAIT; 13.57s: WAIT->OUT
32,False,Ghost (Started in OUT),306,10.20,308,10.27,0.07,OUT,
34,False,Ghost (Started in OUT),436,14.53,437,14.57,0.03,OUT,
35,False,Ghost (Started in OUT),457,15.23,463,15.43,0.20,OUT,
36,False,Ghost (Started in WAIT),465,15.50,465,15.50,0.00,WAIT,
