TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,0,0.00,142,4.73,4.73,ENTRY->WAIT->OUT,3.40s: ENTRY->WAIT; 3.87s: WAIT->OUT
2,True,Valid Sequence,0,0.00,267,8.90,8.90,ENTRY->WAIT->OUT,1.37s: ENTRY->WAIT; 1.80s: WAIT->OUT
3,True,Valid Sequence,0,0.00,205,6.83,6.83,ENTRY->WAIT->OUT,2.03s: ENTRY->WAIT; 2.60s: WAIT->OUT
4,True,Valid Sequence,0,0.00,174,5.80,5.80,ENTRY->WAIT->OUT,4.00s: ENTRY->WAIT; 4.43s: WAIT->OUT
5,True,Valid Sequence,0,0.00,201,6.70,6.70,ENTRY->WAIT->OUT,1.67s: ENTRY->WAIT; 2.33s: WAIT->OUT
6,True,Valid Sequence,0,0.00,170,5.67,5.67,ENTRY->WAIT->OUT,4.03s: ENTRY->WAIT; 4.63s: WAIT->OUT
7,True,Valid Sequence,0,0.00,229,7.63,7.63,ENTRY->WAIT->OUT,2.00s: ENTRY->WAIT; 2.70s: WAIT->OUT
8,False,Turned Back,0,0.00,17,0.57,0.57,ENTRY,
9,False,Turned Back,0,0.00,40,1.33,1.33,ENTRY,
10,False,Turned Back,9,0.30,19,0.63,0.33,ENTRY,
11,True,Valid Sequence,11,0.37,210,7.00,6.63,ENTRY->WAIT->OUT,3.73s: ENTRY->WAIT; 4.27s: WAIT->OUT
12,False,Turned Back,41,1.37,75,2.50,1.13,ENTRY,
13,True,Valid Sequence,51,1.70,216,7.20,5.50,ENTRY->WAIT->OUT,3.97s: ENTRY->WAIT; 4.37s: WAIT->OUT
15,True,Valid Sequence,65,2.17,180,6.00,3.83,ENTRY->WAIT->OUT,4.17s: ENTRY->WAIT; 4.60s: WAIT->OUT
16,True,Valid Sequence,82,2.73,194,6.47,3.73,ENTRY->WAIT->OUT,4.47s: ENTRY->WAIT; 4.77s: WAIT->OUT
17,True,Valid Sequence,83,2.77,187,6.23,3.47,ENTRY->WAIT->OUT,4.70s: ENTRY->WAIT; 5.13s: WAIT->OUT
19,True,Valid Sequence,111,3.70,166,5.53,1.83,ENTRY->WAIT->OUT,4.10s: ENTRY->WAIT; 4.50s: WAIT->OUT
