TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,12,0.40,434,14.47,14.07,ENTRY->WAIT->OUT,12.23s: ENTRY->WAIT; 12.90s: WAIT->OUT
2,True,Valid Sequence,14,0.47,200,6.67,6.20,ENTRY->WAIT->OUT,3.37s: ENTRY->WAIT; 4.37s: WAIT->OUT
3,True,Valid Sequence,19,0.63,149,4.97,4.33,ENTRY->WAIT->OUT,2.23s: ENTRY->WAIT; 2.83s: WAIT->OUT
4,True,Valid Sequence,27,0.90,161,5.37,4.47,ENTRY->WAIT->OUT,2.20s: ENTRY->WAIT; 2.87s: WAIT->OUT
5,True,Valid Sequence,32,1.07,174,5.80,4.73,ENTRY->WAIT->OUT,2.73s: ENTRY->WAIT; 3.40s: WAIT->OUT
6,True,Valid Sequence,36,1.20,171,5.70,4.50,ENTRY->WAIT->OUT,2.50s: ENTRY->WAIT; 3.47s: WAIT->OUT
7,True,Valid Sequence,41,1.37,211,7.03,5.67,ENTRY->WAIT->OUT,2.33s: ENTRY->WAIT; 3.37s: WAIT->OUT
8,True,Valid Sequence,44,1.47,136,4.53,3.07,ENTRY->WAIT->OUT,2.27s: ENTRY->WAIT; 2.87s: WAIT->OUT
9,True,Valid Sequence,50,1.67,158,5.27,3.60,ENTRY->WAIT->OUT,2.37s: ENTRY->WAIT; 3.03s: WAIT->OUT
10,True,Valid Sequence,53,1.77,159,5.30,3.53,ENTRY->WAIT->OUT,2.63s: ENTRY->WAIT; 3.27s: WAIT->OUT
11,True,Valid Sequence,56,1.87,192,6.40,4.53,ENTRY->WAIT->OUT,2.80s: ENTRY->WAIT; 3.73s: WAIT->OUT
12,True,Valid Sequence,60,2.00,180,6.00,4.00,ENTRY->WAIT->OUT,3.07s: ENTRY->WAIT; 3.83s: WAIT->OUT
13,True,Valid Sequence,62,2.07,164,5.47,3.40,ENTRY->WAIT->OUT,2.87s: ENTRY->WAIT; 3.53s: WAIT->OUT
14,True,Valid Sequence,66,2.20,176,5.87,3.67,ENTRY->WAIT->OUT,2.90s: ENTRY->WAIT; 3.60s: WAIT->OUT
15,True,Valid Sequence,68,2.27,193,6.43,4.17,ENTRY->WAIT->OUT,3.83s: ENTRY->WAIT; 4.37s: WAIT->OUT
16,True,Valid Sequence,73,2.43,179,5.97,3.53,ENTRY->WAIT->OUT,3.63s: ENTRY->WAIT; 4.13s: WAIT->OUT
17,True,Valid Sequence,74,2.47,170,5.67,3.20,ENTRY->WAIT->OUT,3.27s: ENTRY->WAIT; 4.03s: WAIT->OUT
18,False,Turned Back,86,2.87,104,3.47,0.60,ENTRY,
19,True,Valid Sequence,90,3.00,192,6.40,3.40,ENTRY->WAIT->OUT,3.73s: ENTRY->WAIT; 4.37s: WAIT->OUT
20,True,Valid Sequence,94,3.13,193,6.43,3.30,ENTRY->WAIT->OUT,3.90s: ENTRY->WAIT; 4.37s: WAIT->OUT
21,True,Valid Sequence,98,3.27,169,5.63,2.37,ENTRY->WAIT->OUT,3.87s: ENTRY->WAIT; 4.27s: WAIT->OUT
22,True,Valid Sequence,104,3.47,210,7.00,3.53,ENTRY->WAIT->OUT,4.23s: ENTRY->WAIT; 5.40s: WAIT->OUT
23,True,Valid Sequence,104,3.47,188,6.27,2.80,ENTRY->WAIT->OUT,4.17s: ENTRY->WAIT; 4.67s: WAIT->OUT
24,False,Turned Back,109,3.63,110,3.67,0.03,ENTRY,
25,True,Valid Sequence,110,3.67,188,6.27,2.60,ENTRY->WAIT->OUT,4.23s: ENTRY->WAIT; 4.77s: WAIT->OUT
26,True,Valid Sequence,110,3.67,234,7.80,4.13,ENTRY->WAIT->OUT,5.17s: ENTRY->WAIT; 6.07s: WAIT->OUT
27,True,Valid Sequence,115,3.83,209,6.97,3.13,ENTRY->WAIT->OUT,4.70s: ENTRY->WAIT; 5.23s: WAIT->OUT
28,True,Valid Sequence,115,3.83,210,7.00,3.17,ENTRY->WAIT->OUT,4.63s: ENTRY->WAIT; 5.17s: WAIT->OUT
29,True,Valid Sequence,119,3.97,234,7.80,3.83,ENTRY->WAIT->OUT,4.87s: ENTRY->WAIT; 5.50s: WAIT->OUT
30,True,Valid Sequence,119,3.97,204,6.80,2.83,ENTRY->WAIT->OUT,4.83s: ENTRY->WAIT; 5.43s: WAIT->OUT
31,True,Valid Sequence,122,4.07,270,9.00,4.93,ENTRY->WAIT->OUT,5.77s: ENTRY->WAIT; 6.53s: WAIT->OUT
32,True,Valid Sequence,123,4.10,235,7.83,3.73,ENTRY->WAIT->OUT,5.33s: ENTRY->WAIT; 6.07s: WAIT->OUT
33,True,Valid Sequence,124,4.13,224,7.47,3.33,ENTRY->WAIT->OUT,4.87s: ENTRY->WAIT; 5.50s: WAIT->OUT
34,True,Valid Sequence,126,4.20,215,7.17,2.97,ENTRY->WAIT->OUT,5.03s: ENTRY->WAIT; 5.80s: WAIT->OUT
