TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,False,Turned Back,366,12.20,469,15.63,3.43,ENTRY,
2,False,Turned Back,380,12.67,681,22.70,10.03,ENTRY,
3,False,Turned Back,388,12.93,869,28.97,16.03,ENTRY->WAIT->ENTRY,19.03s: ENTRY->WAIT; 23.43s: WAIT->ENTRY
4,False,Turned Back,392,13.07,945,31.50,18.43,ENTRY->WAIT->ENTRY,22.17s: ENTRY->WAIT; 27.97s: WAIT->ENTRY
5,False,Turned Back,399,13.30,775,25.83,12.53,ENTRY,
6,False,Turned Back,400,13.33,684,22.80,9.47,ENTRY,
7,False,Turned Back,411,13.70,777,25.90,12.20,ENTRY,
8,False,Turned Back,431,14.37,905,30.17,15.80,ENTRY,
9,False,Turned Back,432,14.40,640,21.33,6.93,ENTRY->WAIT->ENTRY,17.73s: ENTRY->WAIT; 18.50s: WAIT->ENTRY
10,False,Turned Back,447,14.90,848,28.27,13.37,ENTRY,
11,False,Turned Back,449,14.97,1000,33.33,18.37,ENTRY,
12,False,Turned Back,451,15.03,787,26.23,11.20,ENTRY,
13,False,Turned Back,459,15.30,700,23.33,8.03,ENTRY,
14,False,Turned Back,461,15.37,835,27.83,12.47,ENTRY,
15,False,Turned Back,471,15.70,895,29.83,14.13,ENTRY->WAIT->ENTRY->WAIT->ENTRY,22.30s: ENTRY->WAIT; 26.23s: WAIT->ENTRY; 26.30s: ENTRY->WAIT; 26.37s: WAIT->ENTRY
16,False,Turned Back,471,15.70,1137,37.90,22.20,ENTRY,
17,False,Turned Back,474,15.80,1099,36.63,20.83,ENTRY,
18,False,Jumped Over,477,15.90,906,30.20,14.30,ENTRY->WAIT->OUT->WAIT->ENTRY,24.73s: ENTRY->WAIT; 27.13s: WAIT->OUT; 27.67s: OUT->WAIT; 28.50s: WAIT->ENTRY
19,False,Turned Back,481,16.03,844,28.13,12.10,ENTRY,
20,False,Turned Back,488,16.27,924,30.80,14.53,ENTRY,
21,False,Turned Back,489,16.30,1095,36.50,20.20,ENTRY->WAIT->ENTRY,23.97s: ENTRY->WAIT; 34.07s: WAIT->ENTRY
22,False,Turned Back,491,16.37,713,23.77,7.40,ENTRY,
23,False,Turned Back,492,16.40,758,25.27,8.87,ENTRY,
24,False,Turned Back,506,16.87,625,20.83,3.97,ENTRY,
