TrackID,IsValid,Reason,FirstFrame,FirstTime(s),LastFrame,LastTime(s),Duration(s),ZoneHistory,StateChanges
1,True,Valid Sequence,41,1.37,216,7.20,5.83,ENTRY->WAIT->OUT,3.10s: ENTRY->WAIT; 4.67s: WAIT->OUT
2,True,Valid Sequence,63,2.10,445,14.83,12.73,ENTRY->WAIT->OUT,8.90s: ENTRY->WAIT; 11.00s: WAIT->OUT
3,True,Valid Sequence,76,2.53,405,13.50,10.97,ENTRY->WAIT->OUT,6.23s: ENTRY->WAIT; 9.03s: WAIT->OUT
4,True,Valid Sequence,81,2.70,378,12.60,9.90,ENTRY->WAIT->OUT,5.63s: ENTRY->WAIT; 8.97s: WAIT->OUT
5,True,Valid Sequence,83,2.77,522,17.40,14.63,ENTRY->WAIT->OUT,14.10s: ENTRY->WAIT; 15.17s: WAIT->OUT
6,True,Valid Sequence,88,2.93,499,16.63,13.70,ENTRY->WAIT->OUT,11.80s: ENTRY->WAIT; 13.00s: WAIT->OUT
7,True,Valid Sequence,93,3.10,444,14.80,11.70,ENTRY->WAIT->OUT,11.80s: ENTRY->WAIT; 12.87s: WAIT->OUT
8,True,Valid Sequence,95,3.17,413,13.77,10.60,ENTRY->WAIT->OUT,6.47s: ENTRY->WAIT; 10.43s: WAIT->OUT
9,False,Turned Back,95,3.17,205,6.83,3.67,ENTRY,
10,True,Valid Sequence,100,3.33,414,13.80,10.47,ENTRY->WAIT->OUT,7.23s: ENTRY->WAIT; 10.00s: WAIT->OUT
11,True,Valid Sequence,107,3.57,384,12.80,9.23,ENTRY->WAIT->OUT,6.90s: ENTRY->WAIT; 9.27s: WAIT->OUT
12,True,Valid Sequence,110,3.67,400,13.33,9.67,ENTRY->WAIT->OUT,8.77s: ENTRY->WAIT; 10.20s: WAIT->OUT
13,True,Valid Sequence,110,3.67,427,14.23,10.57,ENTRY->WAIT->OUT,8.43s: ENTRY->WAIT; 10.57s: WAIT->OUT
14,True,Valid Sequence,116,3.87,462,15.40,11.53,ENTRY->WAIT->OUT,12.43s: ENTRY->WAIT; 13.37s: WAIT->OUT
15,True,Valid Sequence,121,4.03,397,13.23,9.20,ENTRY->WAIT->OUT,6.53s: ENTRY->WAIT; 9.77s: WAIT->OUT
16,True,Valid Sequence,122,4.07,401,13.37,9.30,ENTRY->WAIT->OUT,7.17s: ENTRY->WAIT; 9.83s: WAIT->OUT
17,True,Valid Sequence,124,4.13,401,13.37,9.23,ENTRY->WAIT->OUT,8.53s: ENTRY->WAIT; 11.57s: WAIT->OUT
18,True,Valid Sequence,128,4.27,426,14.20,9.93,ENTRY->WAIT->OUT,9.17s: ENTRY->WAIT; 10.87s: WAIT->OUT
19,True,Valid Sequence,134,4.47,382,12.73,8.27,ENTRY->WAIT->OUT,6.50s: ENTRY->WAIT; 9.63s: WAIT->OUT
20,True,Valid Sequence,135,4.50,386,12.87,8.37,ENTRY->WAIT->OUT,7.70s: ENTRY->WAIT; 9.70s: WAIT->OUT
21,True,Valid Sequence,138,4.60,414,13.80,9.20,ENTRY->WAIT->OUT,8.80s: ENTRY->WAIT; 10.20s: WAIT->OUT
22,True,Valid Sequence,138,4.60,432,14.40,9.80,ENTRY->WAIT->OUT,9.17s: ENTRY->WAIT; 11.13s: WAIT->OUT
23,True,Valid Sequence,144,4.80,406,13.53,8.73,ENTRY->WAIT->OUT,8.40s: ENTRY->WAIT; 9.97s: WAIT->OUT
24,True,Valid Sequence,154,5.13,420,14.00,8.87,ENTRY->WAIT->OUT,9.03s: ENTRY->WAIT; 10.93s: WAIT->OUT
25,True,Valid Sequence,157,5.23,519,17.30,12.07,ENTRY->WAIT->OUT,13.43s: ENTRY->WAIT; 14.53s: WAIT->OUT
27,True,Valid Sequence,158,5.27,536,17.87,12.60,ENTRY->WAIT->OUT,15.43s: ENTRY->WAIT; 16.27s: WAIT->OUT
28,True,Valid Sequence,161,5.37,445,14.83,9.47,ENTRY->WAIT->OUT,10.03s: ENTRY->WAIT; 12.03s: WAIT->OUT
29,True,Valid Sequence,165,5.50,471,15.70,10.20,ENTRY->WAIT->OUT,12.90s: ENTRY->WAIT; 13.83s: WAIT->OUT
30,True,Valid Sequence,170,5.67,446,14.87,9.20,ENTRY->WAIT->OUT,11.90s: ENTRY->WAIT; 12.87s: WAIT->OUT
33,True,Valid Sequence,181,6.03,430,14.33,8.30,ENTRY->WAIT->OUT,9.83s: ENTRY->WAIT; 11.83s: WAIT->OUT
34,True,Valid Sequence,182,6.07,438,14.60,8.53,ENTRY->WAIT->OUT,10.17s: ENTRY->WAIT; 12.57s: WAIT->OUT
35,True,Valid Sequence,201,6.70,384,12.80,6.10,ENTRY->WAIT->OUT,9.00s: ENTRY->WAIT; 10.23s: WAIT->OUT
37,True,Valid Sequence,212,7.07,426,14.20,7.13,ENTRY->WAIT->OUT,9.53s: ENTRY->WAIT; 11.03s: WAIT->OUT
38,True,Valid Sequence,212,7.07,399,13.30,6.23,ENTRY->WAIT->OUT,9.43s: ENTRY->WAIT; 10.83s: WAIT->OUT
39,False,Turned Back,224,7.47,228,7.60,0.13,ENTRY,
40,True,Valid Sequence,226,7.53,398,13.27,5.73,ENTRY->WAIT->OUT,9.53s: ENTRY->WAIT; 10.37s: WAIT->OUT
41,True,Valid Sequence,231,7.70,443,14.77,7.07,ENTRY->WAIT->OUT,9.33s: ENTRY->WAIT; 12.83s: WAIT->OUT
